composer,composition_id,perf_id,structure,score_path
Franz Joseph Haydn,1068,4943,AABBC,"Franz_Joseph_Haydn/Piano_Sonata_in_C_Major,_Hob.XVI:48/48:_2._Rondo_(Presto)/musicxml_cleaned.musicxml"
Franz Joseph Haydn,1068,4944,AABBC,"Franz_Joseph_Haydn/Piano_Sonata_in_C_Major,_Hob.XVI:48/48:_2._Rondo_(Presto)/musicxml_cleaned.musicxml"
Franz Joseph Haydn,1072,4945,AB,"Franz_Joseph_Haydn/Piano_Sonata_in_C_Major,_Hob.XVI:50/I._Allegro/musicxml_cleaned.musicxml"
Franz Joseph Haydn,1072,4946,AB,"Franz_Joseph_Haydn/Piano_Sonata_in_C_Major,_Hob.XVI:50/I._Allegro/musicxml_cleaned.musicxml"
Franz Joseph Haydn,1072,4947,AB,"Franz_Joseph_Haydn/Piano_Sonata_in_C_Major,_Hob.XVI:50/I._Allegro/musicxml_cleaned.musicxml"
Franz Joseph Haydn,1072,4948,AB,"Franz_Joseph_Haydn/Piano_Sonata_in_C_Major,_Hob.XVI:50/I._Allegro/musicxml_cleaned.musicxml"
Franz Joseph Haydn,1072,4949,AB,"Franz_Joseph_Haydn/Piano_Sonata_in_C_Major,_Hob.XVI:50/I._Allegro/musicxml_cleaned.musicxml"
Franz Joseph Haydn,1072,4950,AB,"Franz_Joseph_Haydn/Piano_Sonata_in_C_Major,_Hob.XVI:50/I._Allegro/musicxml_cleaned.musicxml"
Franz Joseph Haydn,1072,4951,AAB,"Franz_Joseph_Haydn/Piano_Sonata_in_C_Major,_Hob.XVI:50/I._Allegro/musicxml_cleaned.musicxml"
Franz Joseph Haydn,1072,4952,AAB,"Franz_Joseph_Haydn/Piano_Sonata_in_C_Major,_Hob.XVI:50/I._Allegro/musicxml_cleaned.musicxml"
Franz Joseph Haydn,1076,4967,AB,"Franz_Joseph_Haydn/Piano_Sonata_in_B_Minor,_Hob.XVI:32/32:_1._Allegro_moderato/musicxml_cleaned.musicxml"
Franz Joseph Haydn,1076,4968,AAB,"Franz_Joseph_Haydn/Piano_Sonata_in_B_Minor,_Hob.XVI:32/32:_1._Allegro_moderato/musicxml_cleaned.musicxml"
Franz Joseph Haydn,1076,4969,AB,"Franz_Joseph_Haydn/Piano_Sonata_in_B_Minor,_Hob.XVI:32/32:_1._Allegro_moderato/musicxml_cleaned.musicxml"
Franz Schubert,861,3918,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml"
Franz Schubert,861,3919,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml"
Franz Schubert,861,3920,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml"
Franz Schubert,861,3921,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml"
Franz Schubert,861,3922,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml"
Franz Schubert,861,3923,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml"
Franz Schubert,861,3924,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml"
Franz Schubert,861,3925,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml"
Franz Schubert,861,3926,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml"
Franz Schubert,861,3928,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml"
Franz Schubert,861,3929,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml"
Franz Schubert,861,3930,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml"
Franz Schubert,861,3931,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml"
Franz Schubert,861,3932,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.3_in_F_minor_(Allegro_moderato)/musicxml_cleaned.musicxml"
Franz Schubert,862,3933,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.4_in_C_sharp_minor_(Moderato)/Moment_Musical_op._94_d._780_no._4_in_C-sharp_Minor_-_Franz_Schubert.mxl"
Franz Schubert,862,3934,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.4_in_C_sharp_minor_(Moderato)/Moment_Musical_op._94_d._780_no._4_in_C-sharp_Minor_-_Franz_Schubert.mxl"
Franz Schubert,862,3935,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.4_in_C_sharp_minor_(Moderato)/Moment_Musical_op._94_d._780_no._4_in_C-sharp_Minor_-_Franz_Schubert.mxl"
Franz Schubert,862,3936,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.4_in_C_sharp_minor_(Moderato)/Moment_Musical_op._94_d._780_no._4_in_C-sharp_Minor_-_Franz_Schubert.mxl"
Franz Schubert,862,3937,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.4_in_C_sharp_minor_(Moderato)/Moment_Musical_op._94_d._780_no._4_in_C-sharp_Minor_-_Franz_Schubert.mxl"
Franz Schubert,862,3938,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.4_in_C_sharp_minor_(Moderato)/Moment_Musical_op._94_d._780_no._4_in_C-sharp_Minor_-_Franz_Schubert.mxl"
Franz Schubert,862,3939,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.4_in_C_sharp_minor_(Moderato)/Moment_Musical_op._94_d._780_no._4_in_C-sharp_Minor_-_Franz_Schubert.mxl"
Franz Schubert,862,3940,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.4_in_C_sharp_minor_(Moderato)/Moment_Musical_op._94_d._780_no._4_in_C-sharp_Minor_-_Franz_Schubert.mxl"
Franz Schubert,862,3941,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.4_in_C_sharp_minor_(Moderato)/Moment_Musical_op._94_d._780_no._4_in_C-sharp_Minor_-_Franz_Schubert.mxl"
Franz Schubert,862,3942,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.4_in_C_sharp_minor_(Moderato)/Moment_Musical_op._94_d._780_no._4_in_C-sharp_Minor_-_Franz_Schubert.mxl"
Franz Schubert,865,3950,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.1_in_C_(Moderato)/musicxml_cleaned.musicxml"
Franz Schubert,865,3951,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.1_in_C_(Moderato)/musicxml_cleaned.musicxml"
Franz Schubert,865,3952,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.1_in_C_(Moderato)/musicxml_cleaned.musicxml"
Franz Schubert,865,3953,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.1_in_C_(Moderato)/musicxml_cleaned.musicxml"
Franz Schubert,865,3954,no_struct_var,"Franz_Schubert/6_Moments_musicaux,_Op.94_D.780/No.1_in_C_(Moderato)/musicxml_cleaned.musicxml"
Franz Schubert,870,3966,AABBC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3967,AABBC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3968,AABBC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3969,AABBC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3970,AABBC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3971,AABBC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3972,AABBC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3973,AABBC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3974,AABBC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3975,AABBC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3976,AABBC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3977,AABC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3978,AABC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3979,AABBC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3980,AABBC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3981,AABC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3991,AABC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3993,AABC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,870,3996,AABC,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/1._Allegro_moderato/Schubert_-_Sonata_in_A_Op.120_D.664_Movement_I.mxl"
Franz Schubert,871,3982,AAB,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml"
Franz Schubert,871,3983,AAB,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml"
Franz Schubert,871,3984,AAB,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml"
Franz Schubert,871,3985,AAB,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml"
Franz Schubert,871,3986,AAB,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml"
Franz Schubert,871,3987,AAB,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml"
Franz Schubert,871,3988,AAB,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml"
Franz Schubert,871,3989,AAB,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml"
Franz Schubert,871,3990,AAB,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml"
Franz Schubert,871,3992,AAB,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml"
Franz Schubert,871,3994,AAB,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml"
Franz Schubert,871,3995,AAB,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml"
Franz Schubert,871,3997,AAB,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml"
Franz Schubert,871,3998,AAB,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/3._Allegro/musicxml_cleaned.musicxml"
Franz Schubert,872,3999,no_struct_var,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/musicxml_cleaned.musicxml"
Franz Schubert,872,4000,no_struct_var,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/musicxml_cleaned.musicxml"
Franz Schubert,872,4001,no_struct_var,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/musicxml_cleaned.musicxml"
Franz Schubert,872,4002,no_struct_var,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/musicxml_cleaned.musicxml"
Franz Schubert,872,4003,no_struct_var,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/musicxml_cleaned.musicxml"
Franz Schubert,872,4004,no_struct_var,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/musicxml_cleaned.musicxml"
Franz Schubert,872,4005,no_struct_var,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/musicxml_cleaned.musicxml"
Franz Schubert,872,4006,no_struct_var,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/musicxml_cleaned.musicxml"
Franz Schubert,872,4007,no_struct_var,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/musicxml_cleaned.musicxml"
Franz Schubert,872,4008,no_struct_var,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/musicxml_cleaned.musicxml"
Franz Schubert,872,4009,no_struct_var,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/musicxml_cleaned.musicxml"
Franz Schubert,872,4010,no_struct_var,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/musicxml_cleaned.musicxml"
Franz Schubert,872,4011,no_struct_var,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/musicxml_cleaned.musicxml"
Franz Schubert,872,4012,no_struct_var,"Franz_Schubert/Piano_Sonata_No.13_in_A,_D.664/2._Andante/musicxml_cleaned.musicxml"
Franz Schubert,876,4032,AB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4033,ABB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4034,AB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4035,AB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4036,AB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4037,AB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4038,ABB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4039,ABB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4040,AB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4041,ABB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4042,ABB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4043,AB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4044,AB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4045,ABB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4046,AB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4047,AB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4048,ABB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4049,ABB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4050,AB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4051,AB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,876,4052,AB,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/3._Scherzo_(Allegro_vivace)/Sonata_No_20_D959_3.Scherzo.mxl"
Franz Schubert,878,4074,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4075,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4076,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4077,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4078,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4079,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4080,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4081,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4082,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4083,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4084,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4085,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4086,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4087,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4088,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4089,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4090,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4091,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,878,4092,no_struct_var,"Franz_Schubert/Piano_Sonata_No._20_in_A_Major,_D._959/2._Andantino/Schubert_Sonata_D959_Andantino.mxl"
Franz Schubert,880,4113,ERROR: IndexError: index 0 is out of bounds for axis 0 with size 0,"Franz_Schubert/Piano_Sonata_No.17_in_D,_D.850/3._Scherzo_(Allegro_vivace)/Schubert_-_Piano_Sonata_No._17_in_D_Major_Op._53_3rd_Movement.mxl"
Franz Schubert,880,4114,ERROR: IndexError: index 0 is out of bounds for axis 0 with size 0,"Franz_Schubert/Piano_Sonata_No.17_in_D,_D.850/3._Scherzo_(Allegro_vivace)/Schubert_-_Piano_Sonata_No._17_in_D_Major_Op._53_3rd_Movement.mxl"
Franz Schubert,880,4115,ERROR: IndexError: index 0 is out of bounds for axis 0 with size 0,"Franz_Schubert/Piano_Sonata_No.17_in_D,_D.850/3._Scherzo_(Allegro_vivace)/Schubert_-_Piano_Sonata_No._17_in_D_Major_Op._53_3rd_Movement.mxl"
Franz Schubert,880,4116,ERROR: IndexError: index 0 is out of bounds for axis 0 with size 0,"Franz_Schubert/Piano_Sonata_No.17_in_D,_D.850/3._Scherzo_(Allegro_vivace)/Schubert_-_Piano_Sonata_No._17_in_D_Major_Op._53_3rd_Movement.mxl"
Franz Schubert,880,4117,ERROR: IndexError: index 0 is out of bounds for axis 0 with size 0,"Franz_Schubert/Piano_Sonata_No.17_in_D,_D.850/3._Scherzo_(Allegro_vivace)/Schubert_-_Piano_Sonata_No._17_in_D_Major_Op._53_3rd_Movement.mxl"
Franz Schubert,880,4118,ERROR: IndexError: index 0 is out of bounds for axis 0 with size 0,"Franz_Schubert/Piano_Sonata_No.17_in_D,_D.850/3._Scherzo_(Allegro_vivace)/Schubert_-_Piano_Sonata_No._17_in_D_Major_Op._53_3rd_Movement.mxl"
Franz Schubert,880,4119,ERROR: IndexError: index 0 is out of bounds for axis 0 with size 0,"Franz_Schubert/Piano_Sonata_No.17_in_D,_D.850/3._Scherzo_(Allegro_vivace)/Schubert_-_Piano_Sonata_No._17_in_D_Major_Op._53_3rd_Movement.mxl"
Franz Schubert,880,4120,ERROR: IndexError: index 0 is out of bounds for axis 0 with size 0,"Franz_Schubert/Piano_Sonata_No.17_in_D,_D.850/3._Scherzo_(Allegro_vivace)/Schubert_-_Piano_Sonata_No._17_in_D_Major_Op._53_3rd_Movement.mxl"
